speaker	speech	speaker_std
Background	 Departamento de Transcripciones CONGRESO DE LA REPÚBLICA SEGUNDA LEGISLATURA ORDINARIA DE 2000 TRANSCRIPCIÓN DE LOS VIDEOS Núms. 1168 - 1169 ‘‘RELEVO DEL GRL. NICOLÁS DE BARI HERMOZA RÍOS’’ DEL 20 DE AGOSTO DE 1998 —Diálogo —ininteligible—  de dos personas, a quienes no se les puede identificar, debido a filmación defectuosa, ya que no aparecen sus rostros.	CROUSILLAT
"El señor		.—"	 Era un hombre muy inteligente  (?).	MELLADO
"El señor		.—"	 Pero si es todo lo que ha dicho, en  siete años (?).	MELLADO
"El señor		.—"	 Es igual, hermano.	MELLADO
"El señor 		.—"	 Así es.	MELLADO
"El señor		.—"	 Igualito pasó también con el caso de Abraham Caballerino, Abraham Caballerino, fue pues el que cuando estaba  de  Comandante Adjunto él se oponía a la actitud del  Ministerio de Defensa. Entonces, como ya había hecho esto,  comenzó a tocar puertas, a un montón de gente para,  bueno, y habló contra el Ejército, contra la Marina.	MELLADO
"El señor 		.—"	 Claro.	MELLADO
"El señor		.—"	 Era un vuelo, pero más que nada. Y después  cuando lo destituye Alan García,  él se concentra en la FAP, y como el General estaba en Piura en esos momentos,  yo era Comandante. Entonces, se queda entre el Comando del Ala 1, que era  el General Chávez. Viajó a Lima urgente (?). Así que todos vamos a pedir trabajo, por antigüedad. Igualito es hermano, igualito hermano, le dije (?) que todos pidan su baja, ni hablar, dos días lo va durar. Al día siguiente, o a los dos días, el segundo tomó la  caña.	MELLADO
"El señor		.—"	 Y se acabó la cojudez.	MELLADO
Background	"—Diálogo ininteligible por grabación defectuosa. El señor		.—  (2) Después ya lo (?). (risas) —En este espacio continúan llegando los participantes a la reunión, mientras tanto, dialogan lejos del audio que es imposible transcribirlo. —Hace su ingreso el doctor Vladimiro Montesinos Torres. —Seguidamente, van tomando sus respectivos asientos, esperando el ingreso del señor Presidente, ingeniero Alberto Fujimori ."	CROUSILLAT
El señor MONTESINOS TORRES.—	" “Yo sé que tú no (3) me tienes confianza."""	MONTESINOS
El señor MONTESINOS TORRES.—	 (?) de lo del objetivo, no?	MONTESINOS
"El señor		.—"	 Claro.	MELLADO
"El señor		.—"	 Si dijo en el Congreso que era tu dueño.	MELLADO
El señor MONTESINOS TORRES.—	 ¿Qué era mi dueño?	MONTESINOS
"El señor		.—"	 Sí, dijo así. Y que se llevaba bien con todos los ministros, inclusive con los ministros militares, el ministro. Y yo me puse colérico. (Pausa)	MELLADO
Background	—Suena un timbre.	CROUSILLAT
"El señor		.—"	 Más bien, parece que se ha armado un problema tremendo en la sesión del viernes, no?	MELLADO
"El señor		.—"	 (?).	MELLADO
"El señor		.—"	 (?) un problema tremendo.	MELLADO
"El señor		.—"	 Es un enfrentamiento directo contra (?).	MELLADO
"El señor		.—"	 Pero tiene que extenderse a la red que tienen.	MELLADO
"El señor		.—"	 Claro, (?).	MELLADO
Background	—Ingresa el señor General de División E.P. César Saucedo Sánchez e intercambia saludos y palabras de bienvenida con los presentes, estableciéndose un diálogo ininteligible.	CROUSILLAT
El señor MONTESINOS TORRES.—	 ¿Y, qué tal?	MONTESINOS
El general EP SAUCEDO SÁNCHEZ.—	 Casi nos echábamos por nuestro amigo.	MELLADO
El señor MONTESINOS TORRES.—	 ¿Ah si? Ahí ella que los espera.	MONTESINOS
El general EP SAUCEDO SÁNCHEZ.—	 ¿Qué tal, hermano?	MELLADO
El señor MONTESINOS TORRES.—	 Saliste bien, ah. Salió bien la respuesta ¿no?	MONTESINOS
El general EP SAUCEDO SÁNCHEZ.—	 ¿Salió bien, no?, porque.	MELLADO
El señor MONTESINOS TORRES.—	 Porque si no, yo protestaba.	MONTESINOS
El general EP SAUCEDO SÁNCHEZ.—	 Claro, y me ha llamado ahora, pero no le he contestado.	MELLADO
El señor MONTESINOS TORRES.—	 Pero ya sabe que tú estás en buen.	MONTESINOS
